Breed,Group,P1,P2,P3,P4,P5,P6,P7,P8,P9
Bracco Italiano,Gundogs,1.616666667,2.633333333,1.566666667,1.183333333,4.6,2.15,1.9,2.05,1.683333333
Briard,Working Dogs,1.883333333,2.766666667,1.7,1.533333333,4.4,2.2,2.033333333,2.175,1.966666667
British Bulldog,Non-Sporting,1.983333333,2.066666667,1.8,1.45,4.3,2.4,2.233333333,2.2,1.616666667
Brittany,Gundogs,1.6,3.066666667,1.6,1.1,4.7,2.2,1.966666667,2.175,1.766666667
Bull Terrier,Terriers,2.033333333,2.8,1.8,1.516666667,4.45,2.35,2.266666667,2.275,1.966666667
Bull Terrier (Miniature),Terriers,2.133333333,2.833333333,1.9,1.616666667,4.35,2.45,2.366666667,2.375,2.033333333
Bullmastiff,Utility,2.0,2.2,1.633333333,1.633333333,4.4,2.05,2.1,1.95,1.833333333
Cairn Terrier,Terriers,1.933333333,2.8,1.766666667,1.466666667,4.45,2.35,2.133333333,2.25,1.933333333
Canaan Dog,Non-Sporting,2.116666667,2.666666667,1.733333333,1.866666667,4.2,2.15,2.166666667,2.15,2.15
Canadian Eskimo Dog,Utility,2.133333333,2.933333333,1.766666667,1.716666667,4.4,2.25,2.333333333,2.2,2.166666667
Cane Corso,Utility,2.116666667,2.366666667,1.666666667,1.85,4.3,2.0,2.1,1.975,2.05
Caucasian Shepherd Dog,Utility,2.583333333,2.233333333,1.766666667,2.4,3.95,1.95,2.333333333,1.95,2.433333333
Cavalier King Charles Spaniel,Toys,1.416666667,2.5,1.766666667,0.833333333,4.85,2.55,1.9,2.2,1.35
Central Asian Shepherd Dog,Utility,2.45,2.333333333,1.733333333,2.233333333,4.05,2.0,2.266666667,1.975,2.333333333
Cesky Terrier,Terriers,1.883333333,2.6,1.7,1.45,4.4,2.25,2.1,2.175,1.85
Chesapeake Bay Retriever,Gundogs,1.8,2.833333333,1.633333333,1.416666667,4.55,2.15,1.966666667,2.1,1.916666667
Chihuahua (Long Coat),Toys,2.4,2.6,2.366666667,2.083333333,3.8,3.05,2.566666667,2.875,2.15
Chihuahua (Smooth Coat),Toys,2.5,2.566666667,2.466666667,2.183333333,3.7,3.15,2.666666667,2.975,2.183333333
Chinese Crested Dog,Toys,2.166666667,2.633333333,2.166666667,1.8,4.05,2.85,2.366666667,2.65,2.016666667
Chow Chow,Non-Sporting,2.333333333,2.033333333,1.633333333,2.15,3.95,1.9,2.3,1.95,2.083333333
Cirneco Dell'Etna,Hounds,1.916666667,3.0,1.666666667,1.5,4.35,2.2,2.166666667,2.175,2.066666667
Clumber Spaniel,Gundogs,1.533333333,2.3,1.5,1.05,4.65,2.1,1.866666667,1.925,1.466666667
